device cuda n_gpu 1 distributed training False
***** Running training *****
  Batch size = 4
  Num steps = 5550
step: 10 | train loss: 0.013060842640697956 | train acc 0.6892489194869995
step: 20 | train loss: 0.014482392929494381 | train acc 0.6729926466941833
step: 30 | train loss: 0.014300775714218616 | train acc 0.7145161032676697
step: 40 | train loss: 0.016054539009928703 | train acc 0.6993464231491089
step: 50 | train loss: 0.01764369010925293 | train acc 0.7343750596046448
step: 60 | train loss: 0.01886610873043537 | train acc 0.7936962842941284
step: 70 | train loss: 0.017888521775603294 | train acc 0.7087576985359192
step: 80 | train loss: 0.01170273032039404 | train acc 0.7348484396934509
step: 90 | train loss: 0.012313663959503174 | train acc 0.7043478488922119
step: 100 | train loss: 0.01044634822756052 | train acc 0.7507462501525879
step: 110 | train loss: 0.013373089954257011 | train acc 0.7610441446304321
step: 120 | train loss: 0.01783587969839573 | train acc 0.7845304012298584
step: 130 | train loss: 0.0162487979978323 | train acc 0.7723971009254456
step: 140 | train loss: 0.012869143858551979 | train acc 0.692307710647583
step: 150 | train loss: 0.011561746709048748 | train acc 0.7314285635948181
step: 160 | train loss: 0.00991680845618248 | train acc 0.7477611899375916
step: 170 | train loss: 0.010705008171498775 | train acc 0.7698675394058228
step: 180 | train loss: 0.013873648829758167 | train acc 0.7767441868782043
step: 190 | train loss: 0.013615558855235577 | train acc 0.8179271817207336
step: 200 | train loss: 0.013153336942195892 | train acc 0.7164179086685181
step: 210 | train loss: 0.008964168839156628 | train acc 0.7635327577590942
step: 220 | train loss: 0.009151370264589787 | train acc 0.7951806783676147
step: 230 | train loss: 0.011287652887403965 | train acc 0.7471819519996643
step: 240 | train loss: 0.013398859649896622 | train acc 0.7513416409492493
step: 250 | train loss: 0.013472609221935272 | train acc 0.8172323703765869
step: 260 | train loss: 0.014393771067261696 | train acc 0.7838982939720154
step: 270 | train loss: 0.009775659069418907 | train acc 0.7628865838050842
step: 280 | train loss: 0.009201928041875362 | train acc 0.7656903862953186
step: 290 | train loss: 0.009073710069060326 | train acc 0.7574405074119568
step: 300 | train loss: 0.011723584495484829 | train acc 0.7440272569656372
step: 310 | train loss: 0.013655457645654678 | train acc 0.7790433168411255
step: 320 | train loss: 0.016279805451631546 | train acc 0.8338461518287659
step: 330 | train loss: 0.010077424347400665 | train acc 0.770078718662262
step: 340 | train loss: 0.010551940649747849 | train acc 0.7481909990310669
step: 350 | train loss: 0.011089516803622246 | train acc 0.7398753762245178
step: 360 | train loss: 0.008962119929492474 | train acc 0.802395224571228
step: 370 | train loss: 0.01406649500131607 | train acc 0.7223427295684814
step: 380 | train loss: 0.014180226251482964 | train acc 0.841791033744812
step: 390 | train loss: 0.011197349987924099 | train acc 0.7637051343917847
step: 400 | train loss: 0.009170232340693474 | train acc 0.7755102515220642
step: 410 | train loss: 0.008657354861497879 | train acc 0.7762762904167175
step: 420 | train loss: 0.008815684355795383 | train acc 0.7893961668014526
step: 430 | train loss: 0.011023581959307194 | train acc 0.8251028656959534
step: 440 | train loss: 0.015732768923044205 | train acc 0.7999999523162842
step: 450 | train loss: 0.015818478539586067 | train acc 0.8096591234207153
step: 460 | train loss: 0.010627374053001404 | train acc 0.729106605052948
step: 470 | train loss: 0.010038860142230988 | train acc 0.7467249035835266
step: 480 | train loss: 0.009845925495028496 | train acc 0.7525925636291504
step: 490 | train loss: 0.011702151037752628 | train acc 0.7577413320541382
step: 500 | train loss: 0.012811277061700821 | train acc 0.7775423526763916
step: 510 | train loss: 0.016041280701756477 | train acc 0.8101983070373535
step: 520 | train loss: 0.0115695521235466 | train acc 0.7406779527664185
step: 530 | train loss: 0.009879997931420803 | train acc 0.7550724744796753
step: 540 | train loss: 0.009650204330682755 | train acc 0.7674772143363953
step: 550 | train loss: 0.010510941036045551 | train acc 0.7643312215805054
step: 560 | train loss: 0.01217526663094759 | train acc 0.7538167834281921
step: 570 | train loss: 0.012921049259603024 | train acc 0.8520548343658447
step: 580 | train loss: 0.012427203357219696 | train acc 0.7991169691085815
step: 590 | train loss: 0.01126961037516594 | train acc 0.7208976149559021
step: 600 | train loss: 0.008774991147220135 | train acc 0.759365975856781
step: 610 | train loss: 0.009994810447096825 | train acc 0.7699680328369141
step: 620 | train loss: 0.01198912225663662 | train acc 0.776752769947052
step: 630 | train loss: 0.014513163827359676 | train acc 0.7864583730697632
step: 640 | train loss: 0.013292454183101654 | train acc 0.8441176414489746
step: 650 | train loss: 0.00974952057003975 | train acc 0.7863924503326416
step: 660 | train loss: 0.00863395631313324 | train acc 0.7888730764389038
step: 670 | train loss: 0.009505903348326683 | train acc 0.7782874703407288
step: 680 | train loss: 0.009963338263332844 | train acc 0.7582417726516724
step: 690 | train loss: 0.014283373951911926 | train acc 0.7734553217887878
step: 700 | train loss: 0.014192774891853333 | train acc 0.8023598790168762
step: 710 | train loss: 0.009953426197171211 | train acc 0.7930367588996887
step: 720 | train loss: 0.00987807847559452 | train acc 0.760937511920929
step: 730 | train loss: 0.00952407717704773 | train acc 0.7678300142288208
step: 740 | train loss: 0.00905363168567419 | train acc 0.7899543642997742
step: 750 | train loss: 0.013465807773172855 | train acc 0.7795100212097168
step: 760 | train loss: 0.012549979612231255 | train acc 0.8502824902534485
step: 770 | train loss: 0.01402873732149601 | train acc 0.8017492890357971
step: 780 | train loss: 0.008988136425614357 | train acc 0.7610241770744324
step: 790 | train loss: 0.008969041518867016 | train acc 0.7685589790344238
step: 800 | train loss: 0.009618423879146576 | train acc 0.7650601863861084
step: 810 | train loss: 0.010347435250878334 | train acc 0.7646104097366333
step: 820 | train loss: 0.012441214174032211 | train acc 0.7972350120544434
step: 830 | train loss: 0.01504769641906023 | train acc 0.8069164156913757
step: 840 | train loss: 0.011376732960343361 | train acc 0.77183598279953
step: 850 | train loss: 0.008507968857884407 | train acc 0.7911764979362488
step: 860 | train loss: 0.008391906507313251 | train acc 0.7914201021194458
step: 870 | train loss: 0.011187891475856304 | train acc 0.7571428418159485
step: 880 | train loss: 0.012167307548224926 | train acc 0.8177340030670166
step: 890 | train loss: 0.016323216259479523 | train acc 0.8253520727157593
step: 900 | train loss: 0.01205702219158411 | train acc 0.795258641242981
